,County,PCP,Year,Month
677,Colusa County,2.82,2018,Apr
678,Colusa County,0.16,2018,May
679,Colusa County,0.0,2018,Jun
680,Colusa County,0.0,2018,Jul
681,Colusa County,0.0,2018,Aug
682,Colusa County,0.02,2018,Sep
683,Colusa County,0.68,2018,Oct
684,Colusa County,3.61,2018,Noc
685,Colusa County,2.94,2018,Dec
686,Colusa County,6.09,2019,Jan
687,Colusa County,11.1,2019,Feb
688,Colusa County,4.62,2019,Mar
689,Colusa County,0.43,2019,Apr
690,Colusa County,2.57,2019,May
691,Colusa County,0.0,2019,Jun
692,Colusa County,0.0,2019,Jul
693,Colusa County,0.03,2019,Aug
694,Colusa County,0.18,2019,Sep
695,Colusa County,0.01,2019,Oct
696,Colusa County,0.82,2019,Noc
697,Colusa County,7.04,2019,Dec
698,Colusa County,1.6,2020,Jan
699,Colusa County,0.0,2020,Feb
700,Colusa County,0.88,2020,Mar
701,Colusa County,0.77,2020,Apr
702,Colusa County,1.16,2020,May
703,Colusa County,0.02,2020,Jun
704,Colusa County,0.0,2020,Jul
705,Colusa County,0.05,2020,Aug
706,Colusa County,0.0,2020,Sep
707,Colusa County,0.0,2020,Oct
708,Contra Costa County,1.28,2011,Jan
709,Contra Costa County,3.75,2011,Feb
710,Contra Costa County,6.39,2011,Mar
711,Contra Costa County,0.32,2011,Apr
712,Contra Costa County,0.83,2011,May
713,Contra Costa County,0.67,2011,Jun
714,Contra Costa County,0.01,2011,Jul
715,Contra Costa County,0.0,2011,Aug
716,Contra Costa County,0.01,2011,Sep
717,Contra Costa County,1.19,2011,Oct
718,Contra Costa County,1.1,2011,Noc
719,Contra Costa County,0.14,2011,Dec
720,Contra Costa County,2.75,2012,Jan
721,Contra Costa County,1.04,2012,Feb
722,Contra Costa County,5.11,2012,Mar
723,Contra Costa County,2.64,2012,Apr
724,Contra Costa County,0.03,2012,May
725,Contra Costa County,0.09,2012,Jun
726,Contra Costa County,0.01,2012,Jul
727,Contra Costa County,0.0,2012,Aug
728,Contra Costa County,0.0,2012,Sep
729,Contra Costa County,1.01,2012,Oct
730,Contra Costa County,4.4,2012,Noc
731,Contra Costa County,6.17,2012,Dec
732,Contra Costa County,0.79,2013,Jan
733,Contra Costa County,0.4,2013,Feb
734,Contra Costa County,0.6,2013,Mar
735,Contra Costa County,0.78,2013,Apr
736,Contra Costa County,0.07,2013,May
737,Contra Costa County,0.2,2013,Jun
738,Contra Costa County,0.0,2013,Jul
739,Contra Costa County,0.01,2013,Aug
740,Contra Costa County,0.63,2013,Sep
