County,Date,PCP
Tehama County,201407,0.08
Tehama County,201408,0.4
Tehama County,201409,1.65
Tehama County,201410,2.05
Tehama County,201411,4.28
Tehama County,201412,15.19
Tehama County,201501,0.25
Tehama County,201502,4.29
Tehama County,201503,1.04
Tehama County,201504,1.76
Tehama County,201505,0.61
Tehama County,201506,0.33
Tehama County,201507,0.18
Tehama County,201508,0.04
Tehama County,201509,0.4
Tehama County,201510,0.62
Tehama County,201511,2.64
Tehama County,201512,7.4
Tehama County,201601,12.23
Tehama County,201602,1.6
Tehama County,201603,9.8
Tehama County,201604,2.07
Tehama County,201605,1.47
Tehama County,201606,1.21
Tehama County,201607,0.01
Tehama County,201608,0
Tehama County,201609,0.02
Tehama County,201610,7.15
Tehama County,201611,5.1
Tehama County,201612,7.33
Tehama County,201701,11.81
Tehama County,201702,11.25
Tehama County,201703,4.12
Tehama County,201704,5.04
Tehama County,201705,0.47
Tehama County,201706,0.47
Tehama County,201707,0
Tehama County,201708,0.05
Tehama County,201709,0.33
Tehama County,201710,0.78
Tehama County,201711,6.19
Tehama County,201712,0.33
Tehama County,201801,5.24
Tehama County,201802,0.32
Tehama County,201803,6.71
Tehama County,201804,5.36
Tehama County,201805,0.93
Tehama County,201806,0.17
Tehama County,201807,0.01
Tehama County,201808,0
Tehama County,201809,0.01
Tehama County,201810,0.9
Tehama County,201811,5.8
Tehama County,201812,5.13
Tehama County,201901,9.32
Tehama County,201902,14.32
Tehama County,201903,8.43
Tehama County,201904,1.99
Tehama County,201905,4.37
Tehama County,201906,0.05
Tehama County,201907,0
Tehama County,201908,0.24
Tehama County,201909,0.92
Tehama County,201910,0.16
Tehama County,201911,1.4
Tehama County,201912,7.24
Tehama County,202001,3.47
Tehama County,202002,0.02
Tehama County,202003,3.96
Tehama County,202004,1.12
Tehama County,202005,3.06
Tehama County,202006,0.28
Tehama County,202007,0.02
Tehama County,202008,0.11
Tehama County,202009,0
Tehama County,202010,0.02
Trinity County,201101,2.51
Trinity County,201102,5.27
Trinity County,201103,17.27
Trinity County,201104,4.22
Trinity County,201105,3.31
Trinity County,201106,2.76
Trinity County,201107,0.21
Trinity County,201108,0.01
Trinity County,201109,0.19
Trinity County,201110,5.19
Trinity County,201111,4.54
Trinity County,201112,1.29
Trinity County,201201,10.69
Trinity County,201202,3.74
Trinity County,201203,16.18
Trinity County,201204,5.04
Trinity County,201205,0.44
Trinity County,201206,0.89
Trinity County,201207,0.3
Trinity County,201208,0.01
Trinity County,201209,0
Trinity County,201210,2.46
Trinity County,201211,10.81
Trinity County,201212,18.44
Trinity County,201301,2.16
Trinity County,201302,1.16
Trinity County,201303,4.38
Trinity County,201304,2.53
Trinity County,201305,1.55
Trinity County,201306,1.08
Trinity County,201307,0.23
Trinity County,201308,0.61
Trinity County,201309,2.53
Trinity County,201310,0.1
Trinity County,201311,1.89
Trinity County,201312,0.89
Trinity County,201401,1.54
Trinity County,201402,10.34
Trinity County,201403,11.05
Trinity County,201404,1.58
Trinity County,201405,0.56
Trinity County,201406,0.13
Trinity County,201407,0.23
Trinity County,201408,0.15
Trinity County,201409,2.76
Trinity County,201410,6.07
Trinity County,201411,5.61
Trinity County,201412,15.28
Trinity County,201501,1.79
Trinity County,201502,11.74
Trinity County,201503,2.53
Trinity County,201504,2.03
Trinity County,201505,1.23
Trinity County,201506,0.58
Trinity County,201507,0.76
Trinity County,201508,0.15
Trinity County,201509,0.76
Trinity County,201510,0.92
Trinity County,201511,2.69
Trinity County,201512,18.03
Trinity County,201601,19.74
Trinity County,201602,3.28
Trinity County,201603,14.97
Trinity County,201604,2.92
Trinity County,201605,1.59
Trinity County,201606,0.89
Trinity County,201607,0.05
Trinity County,201608,0.01
Trinity County,201609,0.02
Trinity County,201610,14.03
Trinity County,201611,7.35
Trinity County,201612,10.07
Trinity County,201701,18.3
Trinity County,201702,18.77
Trinity County,201703,7.92
Trinity County,201704,8.72
Trinity County,201705,0.57
Trinity County,201706,1.04
Trinity County,201707,0.01
Trinity County,201708,0.25
Trinity County,201709,0.85
Trinity County,201710,1.28
Trinity County,201711,9.18
Trinity County,201712,0.87
Trinity County,201801,7.62
Trinity County,201802,1.34
Trinity County,201803,8.57
Trinity County,201804,6.18
Trinity County,201805,2.08
Trinity County,201806,0.14
Trinity County,201807,0.15
Trinity County,201808,0
Trinity County,201809,0.24
Trinity County,201810,0.81
Trinity County,201811,6.95
Trinity County,201812,5.68
Trinity County,201901,11.37
Trinity County,201902,20.41
Trinity County,201903,8.91
Trinity County,201904,5.2
Trinity County,201905,4.29
Trinity County,201906,0.13
Trinity County,201907,0.01
Trinity County,201908,0.61
Trinity County,201909,1.24
Trinity County,201910,0.65
Trinity County,201911,2.36
Trinity County,201912,10.96
Trinity County,202001,7.66
Trinity County,202002,0.28
Trinity County,202003,3.92
Trinity County,202004,2.7
Trinity County,202005,4.42
Trinity County,202006,0.49
Trinity County,202007,0.35
Trinity County,202008,0.09
Trinity County,202009,0.24
Trinity County,202010,0.15
Tulare County,201101,1.78
Tulare County,201102,3.16
Tulare County,201103,6.27
Tulare County,201104,0.8
Tulare County,201105,1.37
Tulare County,201106,0.59
Tulare County,201107,0.34
Tulare County,201108,0.25
Tulare County,201109,0.08
Tulare County,201110,1.68
Tulare County,201111,1.49
Tulare County,201112,0.13
Tulare County,201201,3.44
Tulare County,201202,0.85
Tulare County,201203,3.02
Tulare County,201204,4.1
Tulare County,201205,0.03
Tulare County,201206,0.04
Tulare County,201207,0.01
Tulare County,201208,0.08
Tulare County,201209,0.02
Tulare County,201210,0.74
Tulare County,201211,1.18
Tulare County,201212,4.78
Tulare County,201301,1.44
Tulare County,201302,1.08
Tulare County,201303,0.86
Tulare County,201304,0.3
Tulare County,201305,0.43
Tulare County,201306,0
Tulare County,201307,0.49
Tulare County,201308,0.42
Tulare County,201309,0.11
Tulare County,201310,0.46
Tulare County,201311,0.68
Tulare County,201312,0.6
Tulare County,201401,0.59
Tulare County,201402,2.18
Tulare County,201403,2.37
Tulare County,201404,1.55
